NetID,net_name
1,一切
2,安満地
3,橘浦
4,古満目
5,貝の川
6,以布利
7,尻貝の浜
8,伊佐
9,窪川
10,双子
11,窪津
12,奈半利
13,羽根
14,椎名
15,高岡
16,三津
17,佐喜浜
18,野根
19,東洋
20,鞆浦
