forecast_base_date,target_date,date,offset_days,forecast_label,Jday,NetID,Latitude,Longitude,depth_m,SST,SST_source,net_name,net_label,n_presence,kuroshio_dist_km,upwelling_proxy,retention_proxy,uo_forecast,vo_forecast,current_speed_forecast,wo_forecast,kuroshio_source,kuroshio_core_speed_threshold,forecast_ocean_mode,ocean_forecast_source,core_risk,core_percentile,core_risk_class,maxent_suitability,upwelling_context,kuroshio_context,integrated_risk,integrated_formula,integrated_percentile_today,integrated_risk_class,model_main,maxent_source,note
2026-09-13,2026-09-13,2026-09-13,0,Today,256,1,32.793914,132.628975,30,28.836109161376953,copernicus_forecast_thetao_surface,一切,一切（NetID 1）,2,23.67972651061679,-0.1001292021929539,-0.6727468356368203,-0.2762785255908966,0.17584778368473053,0.3274939186145469,2.273833530352931e-7,copernicus_forecast_surface_current_core_proxy,0.6308769941329956,real_ocean_forecast,Copernicus Marine GLOBAL_ANALYSISFORECAST_PHY_001_024,0.06951667433966277,0.6615151515151515,Moderate,0.24461521383345597,0.41575744663758724,0.4052828575070525,0.1545056790445637,0.75 core + 0.15 kuroshio + 0.10 upwelling,0.5,Moderate,GAM: Jday + SST + depth,maxnet_lq,Forecast risk is experimental. SST is based on historical seasonal climatology. Core GAM risk should be treated as the main risk index. Kuroshio context is included.
2026-09-13,2026-09-13,2026-09-13,0,Today,256,14,33.311698,134.201284,30,28.55842399597168,copernicus_forecast_thetao_surface,椎名,椎名（NetID 14）,32,25.717211009951683,-0.106445801931766,0.1129684658183157,0.02467300556600094,0.03191792964935303,0.04034242725420673,-6.643485448876163e-6,copernicus_forecast_surface_current_core_proxy,0.6308769941329956,real_ocean_forecast,Copernicus Marine GLOBAL_ANALYSISFORECAST_PHY_001_024,0.06695048556708028,0.6554545454545454,Moderate,0.24215147544264415,0.4115595001464814,0.4114692981702707,0.15308920891549896,0.75 core + 0.15 kuroshio + 0.10 upwelling,0.45,Low,GAM: Jday + SST + depth,maxnet_lq,Forecast risk is experimental. SST is based on historical seasonal climatology. Core GAM risk should be treated as the main risk index. Kuroshio context is included.
2026-09-13,2026-09-13,2026-09-13,0,Today,256,8,32.734923,133.029438,49,28.683671951293945,copernicus_forecast_thetao_surface,伊佐,伊佐（NetID 8）,5,26.26738008751526,-0.1301938426394092,0.7840162562874162,-0.17038632929325104,0.06142342835664749,0.18111968076692375,-7.748350071778987e-6,copernicus_forecast_surface_current_core_proxy,0.6308769941329956,real_ocean_forecast,Copernicus Marine GLOBAL_ANALYSISFORECAST_PHY_001_024,0.0666169468707766,0.6545454545454545,Moderate,0.2892291333675707,0.3957767992818484,0.41314683931213414,0.1515124159780874,0.75 core + 0.15 kuroshio + 0.10 upwelling,0.35,Low,GAM: Jday + SST + depth,maxnet_lq,Forecast risk is experimental. SST is based on historical seasonal climatology. Core GAM risk should be treated as the main risk index. Kuroshio context is included.
2026-09-13,2026-09-13,2026-09-13,0,Today,256,10,33.35765,133.337593,19,28.742250442504883,copernicus_forecast_thetao_surface,双子,双子（NetID 10）,9,72.88147314723435,-0.054814746444576,-0.0593006529514342,-0.0137321762740612,-0.01092715002596378,0.01754922428233822,-5.2272271204856224e-6,copernicus_forecast_surface_current_core_proxy,0.6308769941329956,real_ocean_forecast,Copernicus Marine GLOBAL_ANALYSISFORECAST_PHY_001_024,0.03001960009412034,0.5248484848484849,Moderate,0.22883055517946027,0.4458729626384555,0.5637441342535949,0.15166361647247506,0.75 core + 0.15 kuroshio + 0.10 upwelling,0.4,Low,GAM: Jday + SST + depth,maxnet_lq,Forecast risk is experimental. SST is based on historical seasonal climatology. Core GAM risk should be treated as the main risk index. Kuroshio context is included.
2026-09-13,2026-09-13,2026-09-13,0,Today,256,2,32.802579,132.633563,41,28.694324493408203,copernicus_forecast_thetao_surface,安満地,安満地（NetID 2）,4,24.57502830224151,0.0950000117451871,-0.4804710318799452,-0.1997427344322205,0.22667832672595975,0.30212617193110153,-1.3242936347523937e-7,copernicus_forecast_surface_current_core_proxy,0.6308769941329956,real_ocean_forecast,Copernicus Marine GLOBAL_ANALYSISFORECAST_PHY_001_024,0.02134002638376754,0.46545454545454545,Low,0.2664811965740287,0.5454382927945286,0.4079961730959875,0.13174827503167663,0.75 core + 0.15 kuroshio + 0.10 upwelling,0.2,Low,GAM: Jday + SST + depth,maxnet_lq,Forecast risk is experimental. SST is based on historical seasonal climatology. Core GAM risk should be treated as the main risk index. Kuroshio context is included.
2026-09-13,2026-09-13,2026-09-13,0,Today,256,7,32.794714,132.981033,18,28.720134735107425,copernicus_forecast_thetao_surface,尻貝の浜,尻貝の浜（NetID 7）,2,31.935988311622832,-0.1676966568462163,0.2805019754148821,-0.14649637043476105,0.16546744108200073,0.22099923214523645,-1.1055689355998766e-5,copernicus_forecast_surface_current_core_proxy,0.6308769941329956,real_ocean_forecast,Copernicus Marine GLOBAL_ANALYSISFORECAST_PHY_001_024,0.020537774246583464,0.4575757575757576,Low,0.22764895134953467,0.37085281900513256,0.4306002300272153,0.11707864708953315,0.75 core + 0.15 kuroshio + 0.10 upwelling,0.1,Low,GAM: Jday + SST + depth,maxnet_lq,Forecast risk is experimental. SST is based on historical seasonal climatology. Core GAM risk should be treated as the main risk index. Kuroshio context is included.
2026-09-13,2026-09-13,2026-09-13,0,Today,256,5,32.756666,132.822107,18,28.638525009155273,copernicus_forecast_thetao_surface,貝の川,貝の川（NetID 5）,3,20.42109648835733,0.3721852378090191,-0.1557156258345112,-0.19526802003383636,0.08375704288482666,0.212473155670888,-9.877095180854669e-6,copernicus_forecast_surface_current_core_proxy,0.6308769941329956,real_ocean_forecast,Copernicus Marine GLOBAL_ANALYSISFORECAST_PHY_001_024,0.02030025561762029,0.45636363636363636,Low,0.22696258112195888,0.7296527111929755,0.39547605307678624,0.14751187079403072,0.75 core + 0.15 kuroshio + 0.10 upwelling,0.3,Low,GAM: Jday + SST + depth,maxnet_lq,Forecast risk is experimental. SST is based on historical seasonal climatology. Core GAM risk should be treated as the main risk index. Kuroshio context is included.
2026-09-13,2026-09-13,2026-09-13,0,Today,256,20,33.593837,134.379416,33,28.35628890991211,copernicus_forecast_thetao_surface,鞆浦,鞆浦（NetID 20）,1,46.610730799557544,-0.066178577764199,-0.0906268144709379,0.04741556197404861,-0.02711381390690803,0.05462045790629445,-2.0544221115414985e-6,copernicus_forecast_surface_current_core_proxy,0.6308769941329956,real_ocean_forecast,Copernicus Marine GLOBAL_ANALYSISFORECAST_PHY_001_024,0.016397698567273196,0.4175757575757576,Low,0.2456549364216526,0.4383206785320857,0.4770822560508369,0.127692680186289,0.75 core + 0.15 kuroshio + 0.10 upwelling,0.15,Low,GAM: Jday + SST + depth,maxnet_lq,Forecast risk is experimental. SST is based on historical seasonal climatology. Core GAM risk should be treated as the main risk index. Kuroshio context is included.
2026-09-13,2026-09-13,2026-09-13,0,Today,256,19,33.456354,134.256776,40,28.47333335876465,copernicus_forecast_thetao_surface,東洋,東洋（NetID 19）,4,35.47360136062874,-0.1720138993506987,-0.1059877880352205,-0.01620236597955227,-0.05775156617164612,0.05998133091732271,-6.681791546725435e-6,copernicus_forecast_surface_current_core_proxy,0.6308769941329956,real_ocean_forecast,Copernicus Marine GLOBAL_ANALYSISFORECAST_PHY_001_024,0.013247494100017247,0.38727272727272727,Low,0.2618630649636242,0.3679836245378014,0.4416420593170456,0.11298029192634992,0.75 core + 0.15 kuroshio + 0.10 upwelling,0.05,Low,GAM: Jday + SST + depth,maxnet_lq,Forecast risk is experimental. SST is based on historical seasonal climatology. Core GAM risk should be treated as the main risk index. Kuroshio context is included.
2026-09-13,2026-09-13,2026-09-13,0,Today,256,9,33.159542,133.224963,34,28.644142150878903,copernicus_forecast_thetao_surface,窪川,窪川（NetID 9）,1,60.5203252515846,-0.0461272787575611,-0.1373299046409654,-0.08594774454832077,0.04218924790620804,0.09574417701267728,-9.164132279693147e-6,copernicus_forecast_surface_current_core_proxy,0.6308769941329956,real_ocean_forecast,Copernicus Marine GLOBAL_ANALYSISFORECAST_PHY_001_024,0.011668048048125917,0.3706060606060606,Low,0.25029795382507847,0.45164656330990766,0.5225481410002433,0.1322979135171217,0.75 core + 0.15 kuroshio + 0.10 upwelling,0.25,Low,GAM: Jday + SST + depth,maxnet_lq,Forecast risk is experimental. SST is based on historical seasonal climatology. Core GAM risk should be treated as the main risk index. Kuroshio context is included.
